"filename", "language", "Markdown", "JavaScript", "TypeScript", "JSON with Comments", "JSON", "XML", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/revenue/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/sales-agent/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/search-ops/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/security-ops/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/security/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/service-mesh/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/sre/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/stress-testing/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/subscriptions/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/support-agent/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/support/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/system-config/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/tenants/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/vendor-growth-agent/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/vendors/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/wedding-planner-agent/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(admin)/admin/workflows/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 7
"/Users/kaan/Desktop/WedyPlan/app/(couple)/ai-planner/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"/Users/kaan/Desktop/WedyPlan/app/(couple)/budget/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"/Users/kaan/Desktop/WedyPlan/app/(couple)/checklist/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"/Users/kaan/Desktop/WedyPlan/app/(couple)/contracts/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"/Users/kaan/Desktop/WedyPlan/app/(couple)/dashboard/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 65, 0, 8, 7, 80
"/Users/kaan/Desktop/WedyPlan/app/(couple)/guests/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"/Users/kaan/Desktop/WedyPlan/app/(couple)/insights/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"/Users/kaan/Desktop/WedyPlan/app/(couple)/invitations/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"/Users/kaan/Desktop/WedyPlan/app/(couple)/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"/Users/kaan/Desktop/WedyPlan/app/(couple)/messages/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"/Users/kaan/Desktop/WedyPlan/app/(couple)/onboarding/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 1, 2, 8
"/Users/kaan/Desktop/WedyPlan/app/(couple)/payments/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"/Users/kaan/Desktop/WedyPlan/app/(couple)/profile/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 86, 0, 4, 10, 100
